Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"DMS Viana","Uso do Big and Safe Dividends para a formação de carteiras de ações no Brasil: uma análise sob a ótica do dividend investing",2022,"","repositorio.ufpb.br","https://repositorio.ufpb.br/jspui/handle/123456789/23138","",20,"2025-05-17 18:25:39","","","","",,,,,0,0.00,0,1,3,"… Brazil, presenting a positive and significant relationship with the Ibovespa, the main stock index in the Brazilian market. … de investimentos tradicionais (value investing e growth investing) …","https://repositorio.ufpb.br/jspui/bitstream/123456789/23138/1/D%C3%AAnerMatheusDaSilvaViana_Dissert.pdf","https://scholar.google.com/scholar?q=related:jt1ZkcmCyEEJ:scholar.google.com/&scioq=%22value+investing%22+and+%22brasil%22+or+%22brazil%22+and+%22brazilian+market%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2025"
0,"S Bona","Ações de valor e crescimento: novo estudo para o mercado brasileiro base IBrX-50, período de 2003 a 2011",2012,"","dspace.mackenzie.br","https://dspace.mackenzie.br/handle/10899/23418","",21,"2025-05-17 18:25:39","","","","",,,,,0,0.00,0,1,13,"… have caused the Central Bank of Brazil to reduce interest rates. In … , we analyzed in the Brazilian market if value stock portfolios … no período mostrou que no Brasil não prevaleceu, nos …","https://dspace.mackenzie.br/bitstream/handle/10899/23418/Sergio%20de%20Bona.pdf?sequence=1","https://scholar.google.com/scholar?q=related:abBfemfRwp8J:scholar.google.com/&scioq=%22value+investing%22+and+%22brasil%22+or+%22brazil%22+and+%22brazilian+market%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2025"
0,"DT Gaspar Neto, T Vianna Brugni…","EVA and EBITDA: How Such Metrics Can Help in The Investment Decision-Making Process.",2024,"… in Scientific & …","search.ebscohost.com","https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=19838611&AN=181637439&h=iFkoIyPS%2Byv6khYz1kNl1NfKuzrRXTPsnQAgzoXHdRYaIEAsBBgaxH9PRhQ4Nt3Ctf7dJv1etTC2G3WKo2ho%2Bg%3D%3D&crl=c","",23,"2025-05-17 18:25:39","","","","",,,,,0,0.00,0,3,1,"… on data from the change in accounting standards in Brazil, therefore after the full adoption of … EBITDA (the most recognized metric in the Brazilian market) with EVA, which does not have …","","https://scholar.google.com/scholar?q=related:Zl7wR5EYg90J:scholar.google.com/&scioq=%22value+investing%22+and+%22brasil%22+or+%22brazil%22+and+%22brazilian+market%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2025"
0,"B Schinazi","In cash we trust: cash holdings in the Brazilian equity fund industry",2015,"","gvpesquisa.fgv.br","https://gvpesquisa.fgv.br/sites/gvpesquisa.fgv.br/files/beny_schinazi.pdf","",25,"2025-05-17 18:25:39","PDF","","","",,,,,0,0.00,0,1,10,"… de ações não indexados no Brasil no período entre janeiro … equity fund industry in Brazil presents persistence in returns … , including the findings for the Brazilian market. In the second …","https://gvpesquisa.fgv.br/sites/gvpesquisa.fgv.br/files/beny_schinazi.pdf","https://scholar.google.com/scholar?q=related:Me85JajYDGYJ:scholar.google.com/&scioq=%22value+investing%22+and+%22brasil%22+or+%22brazil%22+and+%22brazilian+market%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2025"
0,"LE Cordeiro Martins das Chagas…","Do good fundamentals generate alpha?",2020,"… de Educação e …","search.ebscohost.com","https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=19818610&AN=144559554&h=uOh5Ec1CiH3SMuL5YCDCVOnR1w0YXRUMFYQPrXKAfvaGrY1ykmaWKn%2F%2F%2B4dCFObLMikyTDznxQn9Cve6qTEnHA%3D%3D&crl=c","",30,"2025-05-17 18:25:39","","","","",,,,,0,0.00,0,2,5,"… the F-Score to select stock portfolios in Brazil. The Brazilian stock market has gained more … the Piotroski (2000) method to the Brazilian market for the periods 2001 to 2011 and 1995 to …","","https://scholar.google.com/scholar?q=related:MBzHnpUrcNEJ:scholar.google.com/&scioq=%22value+investing%22+and+%22brasil%22+or+%22brazil%22+and+%22brazilian+market%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2025"
0,"LECM das Chagas, RPC Leal, RM Roquete","Do good fundamentals generate alpha?",2019,"","coppead.ufrj.br","https://www.coppead.ufrj.br/wp-content/uploads/2020/10/Do-good-fundamentals-generate-alpha.pdf","",31,"2025-05-17 18:25:39","PDF","","","",,,,,0,0.00,0,3,6,"… the F-Score to select stock portfolios in Brazil. The Brazilian stock market has gained more … the Piotroski (2000) method to the Brazilian market for the periods 2001 to 2011 and 1995 to …","https://www.coppead.ufrj.br/wp-content/uploads/2020/10/Do-good-fundamentals-generate-alpha.pdf","https://scholar.google.com/scholar?q=related:4Yxg0J-PzyYJ:scholar.google.com/&scioq=%22value+investing%22+and+%22brasil%22+or+%22brazil%22+and+%22brazilian+market%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2025"
0,"W Delalibera","Automatização do Modelo Rojo de Análise Fundamentalista",2023,"","tede.unioeste.br","https://tede.unioeste.br/handle/tede/6666","",33,"2025-05-17 18:25:39","","","","",,,,,0,0.00,0,1,2,"… It is important to note that the philosophy of value investing … fundamentalist variables in the Brazilian market in a period of … /P, in relation to the beta of the Brazilian market. In addition, the …","https://tede.unioeste.br/bitstream/tede/6666/6/Wesley_Delalibera.2023%20-%20Ingl%C3%AAs.pdf","https://scholar.google.com/scholar?q=related:UPpgiEH8w3YJ:scholar.google.com/&scioq=%22value+investing%22+and+%22brasil%22+or+%22brazil%22+and+%22brazilian+market%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2025"
0,"FRL Colares, FC Galdi","Performance de Analistas Buy-Side e Sell-Side no Atingimento de Preços-Alvo no Brasil",2021,"Advances in Scientific and Applied …","asaa.anpcont.org.br","https://asaa.anpcont.org.br/asaa/article/view/799","",34,"2025-05-17 18:25:39","","","","",,,,,0,0.00,0,2,4,"… For the Brazilian market, such research is important given the relevance of the institutional investor in Brazil in view of the importance of the target price forecasts issued by the sell-side …","https://asaa.anpcont.org.br/index.php/asaa/article/download/799/499","https://scholar.google.com/scholar?q=related:GfTp9ckHvIYJ:scholar.google.com/&scioq=%22value+investing%22+and+%22brasil%22+or+%22brazil%22+and+%22brazilian+market%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2025"
0,"RD Navas, SR Bentes","Revisão de Carteiras Otimizadas: Estratégia para qualquer contexto",2021,"Revista Brasileira de Gestão de Negócios","SciELO Brasil","https://www.scielo.br/j/rbgn/a/kQLyqwB7DRqWRNSZSPcwFqv/?lang=pt","",35,"2025-05-17 18:25:39","HTML","","","",,,,,0,0.00,0,2,4,"… risk: An analysis for the Brazilian market using an accounting-… Value investing: The use of historical financial statement … : An analysis for the Brazilian market using an accounting-based …","https://www.scielo.br/j/rbgn/a/kQLyqwB7DRqWRNSZSPcwFqv/?lang=pt","https://scholar.google.com/scholar?q=related:DmwzQrMH278J:scholar.google.com/&scioq=%22value+investing%22+and+%22brasil%22+or+%22brazil%22+and+%22brazilian+market%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2025"
0,"LHM Wickert","A relação risco e retorno entre as large caps e small caps no mercado acionário brasileiro: uma abordagem comparativa ao mercado norte-americano",2012,"","lume.ufrgs.br","https://lume.ufrgs.br/handle/10183/55007","",36,"2025-05-17 18:25:39","","","","",,,,,0,0.00,0,1,13,"… caps nos mercados acionários do Brasil e dos Estados Unidos entre os … to large caps in the brazilian market. The same relationship … Quem investe pela modalidade value investing está …","https://lume.ufrgs.br/bitstream/handle/10183/55007/000856496.pdf?sequence=1","https://scholar.google.com/scholar?q=related:WZ-OYb57LQ4J:scholar.google.com/&scioq=%22value+investing%22+and+%22brasil%22+or+%22brazil%22+and+%22brazilian+market%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2025"
